Customer_ID,account_age_months,avg_order_value,total_orders,days_since_last_purchase,discount_usage_rate,return_rate,customer_support_tickets,loyalty_member,browsing_frequency_per_week,cart_abandonment_rate,product_review_score_avg,engagement_score,satisfaction_score,price_sensitivity_index,churned,order_value_density,inactivity_ratio,support_friction_index
0520df14-712d-4c69-a0c5-95a2e7dfc1ff,46.0,164.96,12.0,17.0,0.243,0.172,0.0,No,6.1,0.43,5.0,6.58,9.43,3.7,No,12.68923076923077,0.3617021276595745,0.0
a4013b3f-0688-4096-a194-6074be8ffec8,3.0,39.09,4.0,5.0,0.591,0.0808,1.0,No,4.1,0.183,4.44,6.25,8.5,6.9,No,7.8180000000000005,1.25,0.183
eb870f2c-ed3d-4a21-a8ac-273fae69ea4f,29.0,37.42,8.0,47.0,0.212,0.1424,0.0,No,1.2,0.426,3.87,3.32,8.4,4.3,No,4.157777777777778,1.5666666666666667,0.0
a7433451-8ea9-428a-9d80-679c6963b39f,35.0,62.64,9.0,3.0,0.699,0.0128,0.0,No,3.8,0.73,4.75,6.42,9.71,7.5,No,6.264,0.08333333333333333,0.0
43f81935-49e3-44d3-94d1-5c4715738988,39.0,113.03,1.0,7.0,0.382,0.0232,0.0,No,5.4,0.613,5.0,6.48,9.92,5.0,No,56.515,0.175,0.0
a6a161bd-0ccb-4f23-9988-38b3b6202787,18.0,62.28,5.0,13.0,0.565,0.0544,2.0,No,0.0,0.68,3.3,4.52,6.79,6.6,No,10.38,0.6842105263157895,1.36
69101cd5-f8ca-46ef-ac5c-ed2fe09c7e80,20.0,25.01,6.0,9.0,0.225,0.0528,1.0,No,1.1,0.492,4.51,5.12,8.67,4.4,No,3.572857142857143,0.42857142857142855,0.492
074b9fbf-6061-479d-be11-89c1a3b07c47,43.0,50.97,11.0,89.0,0.095,0.0296,1.0,No,5.8,0.314,3.99,2.3,8.22,3.4,Yes,4.2475,2.022727272727273,0.314
dcf6c2a1-e843-4633-bf47-8e3c0fb7478d,60.0,164.73,31.0,1.0,0.31199999999999994,0.0048,0.0,No,1.9,0.551,3.33,5.1,8.31,3.3,No,5.1478125,0.01639344262295082,0.0
eb449e04-d4d8-4536-ae59-bd4c638a6365,58.0,65.91,15.0,4.0,0.341,0.0288,1.0,No,2.3,0.383,2.82,6.07,7.06,5.0,No,4.119375,0.06779661016949153,0.383
6d37b345-96fc-4ca6-ae21-58c44209afe0,23.0,117.67,6.0,7.0,0.109,0.0256,0.0,No,4.1,0.748,3.58,6.22,8.49,3.1,No,16.81,0.2916666666666667,0.0
7f721f51-1ac4-4ea1-bd8d-a085535157a9,34.0,60.3,1.0,86.0,0.446,0.016,2.0,No,4.3,0.886,3.6,2.17,7.21,5.8,Yes,30.15,2.4571428571428573,1.772
0662c919-6ef3-4317-bde3-011565c9ea46,33.0,56.52,1.0,4.0,0.4386,0.0456,0.0,Yes,6.3,0.343,4.28,6.93,9.13,3.9,No,28.26,0.11764705882352941,0.0
b96e4f1b-3005-46ea-b85c-9881af42992d,50.0,102.46,26.0,33.0,0.199,0.052,0.0,No,5.4,0.158,4.15,6.02,8.98,3.8,No,3.7948148148148144,0.6470588235294118,0.0
5ce0be3e-c24d-4e78-a6e4-cf0366a5cdcc,48.0,52.29,1.0,46.0,0.2742,0.0096,0.0,No,0.3,0.951,3.17,5.1,8.14,4.1,No,26.145,0.9387755102040817,0.0
36ca896c-af41-45d0-8b15-9bb7b69f5deb,10.0,48.47,1.0,46.0,0.29819999999999997,0.1008,1.0,No,3.5,0.469,3.53,5.1,7.53,3.7,No,24.235,4.181818181818182,0.469
85d69498-7277-41fd-98bc-58c51b49ba2c,33.0,124.55,1.0,89.0,0.149,0.028,2.0,No,2.1,0.589,3.83,1.28,7.4,3.3,Yes,62.275,2.6176470588235294,1.178
783d30e6-e01a-46d5-8994-ec299d6798a7,47.0,84.6,1.0,71.0,0.27660000000000007,0.0136,0.0,No,2.4,0.778,3.74,5.1,8.69,4.6,Yes,42.3,1.4791666666666667,0.0
